Raw,CD-RE,Polarity
Salah satu biang kerok musibah tenggelamnya #KRINanggala402 adalah kedunguan penyelenggara negara yg gagal mencegah… https://t.co/HCT697mp4O,salah satu kerok musibah tenggelamnya kedunguan penyelenggara negara gagal mencegah,-1
ہم #عالم_اسلامی میں #انڈونیشی_آبدوز کے ڈوبنے اورعملے کی موت پر افسردہ ہیں۔انڈونیشا کے صدر جناب جوکو ویدودو @jokowi… https://t.co/fjpG5Vpd2e,hm myN khy ddwbny wr mly khy mwt pr fsrdh hyN nddwnysh khy Sdr jnb jwkhw wydwdw,0
Le #MondeMusulman a appris avec tristesse la mort de l’équipage du sous-marin indonésien #KRINanggala402 nous prése… https://t.co/TOgLqOzNUr,le a appris avec tristesse mort de l equipage du sous marin indonesien nous prese,0
"Kami &amp; muslim dunia berduka telah mendengar kabar tenggelamnya #KRINanggala402 &amp; kematian awaknya.
Dengan rasa sedi… https://t.co/vZHg1AO8t1",amp muslim dunia ka kabar tenggelamnya amp kematian awaknya rasa sedi,-1
"Geger Penampakan Awan Mirip KRI Nanggala 402 di Bali, Ini Faktanya

Baca selengkapnya disini… https://t.co/vSI6RtSQd9",geger penampakan awan mirip kri nanggala 402 bali faktanya baca selengkapnya,1
#KRINanggala402 https://t.co/9QCECCyC8u,,0
"Barangkali karena terlalu dalam, penampakan dari permukaan cuma bisa dirasakan, semangat pahlawan serta amalan yang… https://t.co/fCw6hvFK3H",barangkali penampakan permukaan dirasakan semangat semangat amalan,1
#KRINanggala402 https://t.co/LiOgNmDpzJ,,0
Ada yang langsung menghubungkan awan unik itu dengan kapal selam KRI Nanggala 402. #KRINanggala402 https://t.co/4bBeUAKbSv,ada langsung menghubungkan awan unik kapal selam kri nanggala 402,0
Mendengar ini sepemahaman sy satu2nya cara agar tidak terjadi kecelakaan adalah maintenance kasel harus paripurna.… https://t.co/7QsonnMx6G,sepeman mahasy satu2nya tidak terjadi terjadi kecelakaan maintenance kasel paripurna,0
"@_TNIAL_ Al-Fatihah .. 🤲 Amiin YRA 🙏🇲🇨
#jalesvevajayamahe 
#tnial 
#IndonesianNavy 
#KRINanggala402",al fatihah amiin yra tangan dilipat,0
"Tentunya pula bagi mereka yang wafat dalam Iman dan Islam, Rasulullah ﷺ telah bersabda dalam hadis Riwayat Muslim 1… https://t.co/Ywo0WlD9yP",wafat iman islam rasulullah bersabda hadis riwayat muslim 1,0
"Gugurnya 53 pelaut adalah tragedi bagi kita semua, namun tentunya kita berharap masih ada yang bisa selamat walau k… https://t.co/9a8PTwlJYC",gugurnya 53 pelaut tragedi untuk ada selamat ok,0
"Now, they're watching us from up there . . .
Turut berduka cita yang sedalam-dalamnya kepada seluruh keluarga yang… https://t.co/txA4Hs6v2k",memerhatikan berduka cita sedalam untuk keluarga turut,1
"Penyebab Lain Tenggelamnya KRI Nanggala-402

Baca selengkapnya disini
https://t.co/VgwVUQzAgS

#News #Tenggelam #KapalSelam #KRINanggala402",penyebab tenggelamnya kri nanggala 402 baca selengkapnya,0
"DPC PDI Perjuangan Garut Bantu Korban Kebakaran di Kecamatan Limbangan dan Bungbulang

#PDIPerjuangan… https://t.co/5EfiqLl617",dpc pdi perjuangan garut kebakaran korban limbangan bungbulang,-1
"Ya, buat penutup, ane dan emak juga masih berdoa sampai sekarang. Semoga para prajurit diberikan tempat terbaik di… https://t.co/Zd6d1YlpAE",ya ane emak ada berdoa semoga penutupan prajurit tempat terbaik,1
"https://t.co/NYu8KctFQd
#Pekanbaru #Malaysia #JawaTimur #Indonesia #KRINanggala402",,0
"Poignant words of fallen crew members, families, of #Indonesia's  #KRINanggala402 submarine:
* Petty officer Setyo… https://t.co/5HKt7mm6H7",Perkataan pedih anggota kru jatuh keluarga pegawai kapal selam petty setyo,1
"PDI Perjuangan Kabupaten Bandung Barat 
Memperingati Malam Nuzulul Qur'an
Malam turunnya ayat Al-Qur’an adalah mala… https://t.co/SW7mB31dla",pdi kabupaten perjuangan bandung barat malam memperingati nuzulul qur malam turunnya ayat al qur an mala,1
"HEBOH Ustadz Abdul Somad dan Pengurus Masjid Jogokariyan Galang Dana Beli Kapal Selam, Harganya?… https://t.co/jbFufmAS9r",heboh ustadz abdul somad pengurus masjid jogokariyan galang dana beli kapal selam harganya,
"Viral  Penampakan Awan Bali Mirip KRI Nanggala-402, Warganet: Sudah Ada di Keabadian! 
#Viral #viralindonesia… https://t.co/TwqQdk552x",viral penampakan awan bali mirip kri nanggala 402 warganet ada keabadian,1
"Begini Kronologi dan Ilustrasi Tenggelamnya KRI Nanggala-402

#KRINanggala402  https://t.co/8vPICP8f8C",Pemula ilustrasi tenggelamnya kri nanggala 402,0
"telah gugur, kita doakan mereka husnul khotimah. Namun tetap harus menjaga akidah kita agar tetap lurus.

Barakalla… https://t.co/h2sILoRZgR",gugur doakan husnul khotimah tetap menjaga akidah lurus barakalla,1
"READY STOCK ON SHOPEE,TOKOPEDIA AND BUKALAPAK!!!!!

Klik link di bio ya😉
•
•
#sweeter #sweter #swetercowok… https://t.co/RJiHWtylDn",stok siap tokopedia shopee pautan bukalapak klik bio ya winking face,0
"READY STOCK ON SHOPEE,TOKOPEDIA AND BUKALAPAK!!!!!

Klik link di bio ya😉
•
•
#sweeter #sweter #swetercowok… https://t.co/3TSGft2OHC",stok siap tokopedia shopee pautan bukalapak klik bio ya winking face,0
